number,Title,Description,category,priority,resolver_team,Where I got the ticket from,hardness
234,How to access a usb flash drive from the terminal?,"I only have access to the command line.
I need to backup my data (on the user folder) to a pen (USB DOK).
How can I mount a flash drive manually?
What should be the copy command?",general usage,,general support,askubuntu,
235,How to change time-zone settings from the command line,"I have a virtual machine that is set to
PST
that a couple of colleagues have in different time-zones.
If I wanted to change the time-zone to
EST
and
GMT
, what do I need to do?",system settings,,desktop support,askubuntu,
236,How to uninstall a .deb package?,"Suppose I download a .deb package from a website and install it. (I assume that when I double click the .deb file, the package is installed through a GUI that interfaces with dpkg right?)
How can I uninstall it?",package management,,system support,askubuntu,
237,How can I create a zip archive of a whole directory via terminal without hidden files?,"I have a project with lots of hidden folders / files in it. I want to create a zip-archive of it, but in the archive shouldn't be  any hidden folders / files. If files in a hidden folder are not hidden, they should also not be included.
I know that I can create a zip archive of a directory like this:
zip -r zipfile.zip directory
I also know that I can exclude files with the -x option, so I thought this might work:
zip -r zipfile.zip directory -x .*
It didn't work. All hidden directories were still in the zip-file.",general usage,,general support,askubuntu,
238,I have 16GB RAM. Do I need 32GB swap?,"I read many places that the rule of thumb for swap space is to double the amount of physical RAM. However, 32 GB does seem a LOT. Do I need that much? Do I need it at all with this high amount of physical RAM?",hardware,,hardware support,askubuntu,
239,Simple image editor?,"I want something similar to ""preview"" in macs.  For example: I want an image editor that ONLY does simple adjustments like increase/decrease contrast, saturation, exposure, color tinting.... rotate, flip vertically, flip horizontally, make black and white, change size or format, crop.
THATS IT.  I know gimp can do all those things but its a bit overkill.  I just want to right click an image, open it with this magical program i just described, do a few quick adjustments, and then save and exit.  Nothing really fancy.
Anyone know of anything like this?  Btw I am using ubuntu 12.04 :) It rocks and I am glad I switched from mac, i just need to replace this one piece of software.",general usage,,general support,askubuntu,
240,How do I find my internal ip address?,"I have Ubuntu server 12.04 installed, so I have no GUI. When I do the command ifconfig, I cannot find my internal IP address. It says:
inet addr: 127.0.0.1
.
Here is the output of
ifconfig -a
:
eth0   link encap:Ethernet  HWaddr 00:06:4f:4a:66:f0
    BROADCAST MULTICAST  MTU:1500  Metric:1
    RX packets:0 errors:0 dropped:0 overruns:0 frame:0
    TX packets:0 errors:0 dropped:0 overruns:0 carrier:0
    collisions:0 txqueuelen:1000
    RX bytes:0 (0.0 B)  TX bytes:0 (0.0 B)

eth1   link encap:Ethernet  HWaddr 00:16:ec:05:c8:9c 
    BROADCAST MULTICAST  MTU:1500  Metric:1
    RX packets:0 errors:0 dropped:0 overruns:0 frame:0
    TX packets:0 errors:0 dropped:0 overruns:0 carrier:0
    collisions:0 txqueuelen:1000
    RX bytes:0 (0.0 B)  TX bytes:0 (0.0 B)

lo     Link encap:Local Loopback
    inet addr 127.0.0.1  Mask:255.0.0.0
    inet6 addr:  ::1/128 Scope:Host
    UP LOOPBACK RUNNING MTU:65536  Metric:1
    RX packets:1800 errors:0 dropped:0 overruns:0 frame:0
    Tx packets:1800 errors:0 dropped:0 overruns:0 carrier:0
    collisions:0 txqueuelen:0
    RX bytes:143896 (143.b KB)  TX bytes:143896 (143.8 KB)
here are the contents of
/etc/network/interfaces
:
# The loopback network interface
auto lo
iface lo inet loopback

# The primary network interface
auto eth0
iface eth0 inet dhcp
If someone could edit this for me, the contents of etc/network/interfaces should be on separate lines.
The output of host askubuntu.com was:
;; connection timed out; no servers could be reached.
I set up owncloud and webmin a few months ago and was using them for a month with no problems. I think the power went off one day 2 months ago and I never turned the server back on until yesterday. I haven't done anything that would have affected the internet setup So i'm not sure why it doesn't work anymore. As far as my network topology goes, I have a pci-e network card for the pc. The ethernet line goes from the network card to a switch, and then to a modem/router from there.",networking,,network support,askubuntu,
241,How do I search my command-line history for commands I used before?,"Other than viewing the history, is there a way to filter my history?
Say I want to search for a command that started with ""ssh""?",general usage,,general support,askubuntu,
242,How to unzip .tgz file using the terminal?,"I've downloaded
mongodb-linux-x86_64-2.6.3.tgz
file using windows 7 and kept it on
D:\Amra\Software\Developing Soft
location.
When I right click this .tgz file using Ubuntu  and see property it shows
Location:  /media/towhid/Amra/Software/Developing Soft
. Now how will I unzip this .tgz file using
tar
command from terminal?",general usage,,general support,askubuntu,
243,How do I zip up a folder but exclude the .git subfolder,"I'm trying to create a zip file from a folder and I'd like to exclude the
.git
sub-folder from the resulting zip file.
I have gone to the parent folder of the one I want to zip (
called bitvolution
) and I'm doing:
zip -r bitvolution.zip bitvolution -x "".git""
But it doesn't exclude the
.git
sub-folder.
I've tried various combinations,
-x .git*
,
-x \.git/*
,
-x .git/\*
,
-x \.git/\*
. I've also tried using the full path for the exclude argument... but just didn't get there.",general usage,,general support,askubuntu,
